question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
Which of the following is not ture about increased intracraniaL pressure,,3,Headache,Nausea / vomiting,Muscle twitching,Somnolence,Surgery,,870f28d5-6352-429f-a3c0-a881671f6d37,single,Muscle twitching,Nan,It decreases cerebral perfusion pressure.
Retromolar pad:,,2,Should not be covered by Low denture,Should be covered by lower denture,Has tendon of temporal muscle attached to it,Disappears on eruption of mandibular last molars,Dental,,f90856e7-a924-43b9-9e08-89b95508c61f,single,Should be covered by lower denture,Nan,A soft tissue area behind the last molar of the jaw.
The process of transfer of information from the RNA to the proteins is called:,,2,Mutation,Translation,Transcription,Conjugation,Biochemistry,,5f653449-2396-4d96-83e8-f4d2d3cb43be,multi,Translation,Translation,Translation
All of the following are potentially serious side effects of thioamide group of antithyroid drugs except:,"Ans: D. Anaphylaxis(Ref. Goodman Gilman 12/e p1149; Katzung 13/e p671, 12/e p688)Adverse effects of anti-thyroid drugs:Most serious reaction: AgranulocytosisMC reaction: Mild, purpuric, uicarial papular rash.Less frequent complications: Pain & stiffness in joints, paresthesias, headache, skin pigmentation & loss of hair.ANCAs in -50% of patients receiving propylthiouracil.Cholestatic jaundice - More common with methimazole than propylthiouracil.Propylthiouracil-associated hepatic failure.",4,Hepatic dysfunction,Severe rash,Agranulocytosis,Anaphylaxis,Pharmacology,,5891372b-60e8-4a7c-b773-48598b2712e3,multi,Anaphylaxis,Anaphylaxis,Liver toxicity
"In which stage of neurocysticercosis, there is no edema?","Ans. d. Nodular calcified (Ref Robbins 9/e1)395, SA, 1)392-393)Surrounding edema is seen in the colloidal vesicular and granular nodular stages.StageCyst wallScolexCommentVesicularNon-enhancingWall defined membraneOnly one ble scolexEccentric hyperdense hole-with-dot"" appearanceSuggestive of ble larvaColloidalRing Enhancing with perilesional edemaDegenerating scolexFluid becomes more turbidEarliest stage in the cyst involution - larval degenerationGranularFocal nodular enhancing necrotic lesions with perilesional edemaDegenerating scolexEosinophilic structure Bladder and scolex are in various stages of disintegationCalcifiedSmall hyperdense nodules without perilesional edema",4,Vesicular,Vesicular colloidal,Granular nodular,Nodular calcified,Pathology,,10b14133-7f8a-43dd-ab66-b0cfd0c784c2,single,Nodular calcified,Nodular calcified,Vesicular stage
Which of the following is not a pa of the quadruple test for antenatal detection of Down syndrome?,TRIPLE TEST b Hcg || a feto protein || Estriol || QUADRAPLE TEST BHcg || A feto protein || Estriol || Inhibin A ||,4,AFP,Estriol,Beta HCG,Inhibin B,Pathology,AIIMS 2018,f3f3ad74-951f-4907-913d-f5c6c6c2dd2a,single,Inhibin B,Estriol,Inhibin A
Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?,Ans: D. Dengue hemorrhagic feverAntiborly-dependent enhancement is implicated in the immunopathogenesis of Dengue hemorrhagic fever.,4,Influenza,Staphylococcal toxic shock syndrome,Waterhouse-Friderichsen syndrome,Dengue hemorrhagic fever,Microbiology,,3d3896ce-b736-4e9a-bb7e-cb4608cdd29a,single,Dengue hemorrhagic fever,Dengue hemorrhagic fever,Dengue fever
The drug not belonging to amide group,,1,Procaine,Xylocaine,Lignocaine,Bupivacaine,Pharmacology,,eddd8435-1826-40ba-97d9-83a73e23a5f3,single,Procaine,Nan,Lidocaine
Extra retention in abutment teeth is obtained with:,,2,Dovetail,"Slots, pins and grooves",Outline form,Increasing tooth reduction,Dental,,56889b42-0d93-428e-bc1e-b4e7432944a7,single,"Slots, pins and grooves",Nan,Pin retention.
Sonic frequency range is:,,2,1000-2000 Hz,1500-6000 Hz,"20,000-30,000 Hz","10,000 Hz",Dental,,815a13ca-72f8-4964-8732-04f03b313aa4,single,1500-6000 Hz,20 Hz to 20 kHz,20 Hz to 20 kHz
Cause of apical periodontitis is/are:,"Apical periodontitis (AP) may occur in a vital or nonvital tooth.
Causes of AP in a vital tooth:

Abnormal occlusal contacts
High points in restoration
Wedging of foreign object between the teeth
Traumatic blow to teeth (Eg: Concussion).

Causes of AP in a nonvital tooth:

Sequelae of pulpal diseases  
Iatrogenic
Apical extrusion of debris through apical foramen during RCT.
Pushing irrigants or medicaments or obturating material through apical foramen.",4,Sequel of pulpal diseases,Wedging of foreign object between the teeth,High points in restoration,All of the above,Dental,,4a7410ad-78f0-457e-abf9-b5beb5ec4a1c,multi,All of the above,All of the above,Bacterial infection
"Which of the following series act as the best space
maintainer in a child's mouth?",,1,Restored deciduous tooth,Acrylic partial denture,Distal shoe space maintainer,Band and loop space maintainer,Dental,,3c7f7351-8925-4c0e-89e7-1d4b8e806797,single,Restored deciduous tooth,Nan,Band and loop space maintainer.
Most common cause of postauricular lymphadenopathy in children :,"Posterior or Suboccipital cervical lymphadenopathy is caused by Roseola, Rubella, Scalp infections.
The lymphatic drainage of posterior scalp is to the occipital region.
Posterior or Suboccipital cervical lymphadenopathy without obvious disease or secondary infection is characteristic of lice.
Secondary pyodenna due to scratching may result in matting together of the hair and cervical and occipital lymphadenopathy.",2,Sore throat,Pediculosis capitis,Pulmonary Koch's,Chronic suppurative otitis media,Pediatrics,,5900458a-b839-47eb-a745-b93e35ba2d40,single,Pediculosis capitis,Lice,Otitis media
Infected mandibular angle fracture is treated by?,We can never place a foreign object(implant mini plates or reconstruction plates) at infection site.,4,Mini plates,Reconstruction plates,Champy plate at upper border,IMF + ID,Surgery,,a629e297-c858-4665-8991-b4c49606bf38,single,IMF + ID,Open reduction and internal fixation with bone grafting,Antibiotics and surgical drainage.
"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?",,2,Halothane,Chloroform,Methylchloroform,Xylene,Dental,,10bc576b-b04f-41cf-ba0f-f6536df45ca2,multi,Chloroform,Nan,Xylene
The following enzyme is responsible for thirst mechanism during dehydration?,"Ans. A. ADH* Because, arginine vasopressin (AVP) also known as antidiuretic hormone, cannot reduce water loss below a ceain minimum level obligated by urinary solute load and evaporation from skin and lungs, a mechanism for ensuring adequate intake is essential for preventing dehydration.* This vital function is performed by the thirst mechanism.* Like AVP, thirst is regulated primarily by an osmostat that is situated in the anteromedial hypothalamus and is able to detect very small changes in the plasma concentration of sodium and ceain other effective solutes.",1,ADH,Noradrenaline,Epinephrine,Dopamine,Physiology,,e1cf9f3f-2fd8-40e3-96c3-1a6ecb016b22,single,ADH,ADH,Angiotensin II
Ptosis may be caused by a lesion of the:,,1,Oculomotor nerve,Superior oblique,Trigeminal nerve,Trochlear nerve,Medicine,,6345cacc-9150-4410-8add-3153eaed701c,single,Oculomotor nerve,Nan,Oculomotor nerve (CN III)
The treatment of choice for primary grade V vesicoureteric reflux involving both kidneys in a 6 month old boy is –,"Since the age of the boy is less than 1 year we will try medical management.
See the below given tables from Nelson and the answer will be clear.

Treatment Recommendation for VUR diagnosed following a UTI",1,Antibiotic prophylaxis,Ureteric reimplantation,Cystoscopy followed by subureteric injection of teflon,Bilateral ureterostomies.,Pediatrics,,6f03967a-8c4b-4a57-8443-1c81d4543711,multi,Antibiotic prophylaxis,Medical management,Surgical correction.
Idiosyncratic side-effects of carbamazepine are all except:,"Answer- D. Blurred visionDiplopia (not the blurring of vision) is a dose related side effect of carbamazepine, while others are idiosyncratic, reactions.""The most common dose-related adverse effects of carbamazepine are diplopia and ataxia. The diplopia often occursfirst and may last less than an hour during a paicular time of day",4,Steven-Johnson syndrome,Agranulocytosis,Rash,Blurred vision,Pharmacology,,82356aae-5bd4-4503-acab-5f70c0db6bee,multi,Blurred vision,Blurred vision,Hyponatremia
Neoplasia of blood vessel is called,,1,Angioma,Hematoma,Lymphosarcoma,Papilloma,Pathology,,f3b10e99-fb84-459f-8947-e90618a9e6c8,multi,Angioma,Nan,Angiosarcoma
Which of the following is innervated by the vagus nerve?,,1,The levator veli palatine (levator palatini),The posterior belly of digastric,Mylohyoid,The tensor veli palatine (tensor palatini),Anatomy,,298fc434-3b3e-48bf-bd3b-cd93efb45fdb,single,The levator veli palatine (levator palatini),Larynx,Heart
A voluntary donor underwent apheresis for platelet donation for the first time after which he developed perioral tingling and numbness. This is seen because,"SDP-Single Donor Platelet are preffered. -In this process whole bloodis drawn from one arm into a sterile kit inside a cell separating machine. -The machine separates the bloodso that onlyplateletsand plasma are collected. -The other bloodcomponents (red cells and white cells) are returned to thedonor the same arm. -Because we want the blood to flow in the proper way, so we will do addition of anti-coagulant solution like citrate based anti-coagulant. -This anti-coagulant solution will not only prevent clot formation but will also cause decrease in the concentration of ionized Ca2+ - causing transient hypocalcemia which will lead to Perioral tingling and numbness. To prevent this condition from happening we prescribe oral calcium supplementation to the respective patient or we reduce the flow of device through which the blood is supposed to pass.",4,His platelet count was low for donation,He underwent apheresis for the first time,Due to fluid depletion,Due to citrate based anticoagulant,Pathology,AIIMS 2017,da143133-e8d3-44d6-a66d-607ed0bcf458,single,Due to citrate based anticoagulant,The anticoagulant used in the apheresis machine is citrate based,hypocalcemia due to citrate anticoagulant.
P3L3 came to opd with postcoital bleeding and pap positive p/v cervix hyperophied bleed on touch diagnosis -,"Ans. A. CA cervixSYMPTOMS:Arises from: Squamo-columnar junctionEarliest symptom: Post-coital bleedingAs the cancer progresses, symptoms may include:Unusual vaginal dischargeVaginal bleeding between periodsBleeding after menopausePyometraBleeding or pain during sexMC site: EctocervixLymph nodes affected: Obturator, hypogastric and external iliacTime taken for conversion of CIN to invasive Ca: 10 yearsMC type: Squamous cell Ca100% cure rates are seen in: CISUremia: altered sensorium and is having hiccupsMC cause of death: Renal failureCa cervix can be prevented by screeningBoth positive Pap smear and test is suggestive of CA cervix",1,CA cervix,Fibroid,Cervicitis,Cervical polyp,Gynaecology & Obstetrics,,a2106819-7406-4698-8f7d-b166a05fe17e,single,CA cervix,CA cervix,Cervical cancer
Which of the following PPE (Personal Protective Equipment) is removed first?,"Personal protective equipment: PPE - protect the user against health or safety risks at work. Can include items such as safety helmets, gloves, eye- protection, high visibility clothing, safety footwear and safety harness. It can also include respiratory protective equipment (RPE) Order of removing PPE: Gloves Face shield Gown Mask",1,Gloves,Face shield,Gown,Mask,Surgery,AIIMS 2019,6ec2995f-3b3d-495c-8768-98368ad2b08d,single,Gloves,Gloves,Gloves.
"A cyst occurs under the tongue, caused by obstruction of a salivary gland. Such a cyst is called:",,2,Mucocele,Ranula,Derrnoid cyst,Dentigerous cyst,Pathology,,e0d6862e-e62f-4aa6-a4b1-f42c042e46c6,multi,Ranula,Nan,Ranula
What is the maximum capacity of Bakri balloon which is used in post paum hemorrhage?,Ans: C. 500 mLBakri balloon:Inseed & inflated to tamponade endometrial cavity to stop bleeding.Initially staed by rapidly infusing at least 150 mL followed by fuher instillation over a few minutes for a total of 500 mL to arrest hemorrhage.,3,200 mL,300 in L,500 mL,1000 m L,Gynaecology & Obstetrics,,c97369ec-b7b9-405c-ba9c-35cfdae8ce24,multi,500 mL,,500 mL
All of these are G2 phase blockers except:,"Ans: C. Paclitaxel(Ref: Goodman Gilman 121e p1708; Katzung 13/e p932, 12Ie p963; KDT 7/e p865)Paclitaxel:Taxane, which act by causing disruption of the cell's microtubule function by stabilizing microtubule formation.Acts on the M-phase of cell division.Binds specifically to the P-tubulin subunit of microtubules and antagonizes the disassembly of this key cvtoskeletal protein, with the result that bundles of micro-tubules and aberrant structures derived from microtubules appear in the mitotic phase of the cell cycle.Arrest in mitosis follows.",3,Etoposide,Topotecan,Paclitaxel,Daunorubicin,Pharmacology,,f14171b9-69fe-4e7f-b004-40f2eb8d4b8c,multi,Paclitaxel,Paclitaxel,Caffeine
The primary action of topical fluoride is a:,,1,Conversion of hydroxyapatite to fluoroapatite,Decrease in the plaque bacteria,Form a reservoir in saliva,Improve morphology of teeth,Dental,,bf4732f0-2a61-4911-8463-11e3bee37870,single,Conversion of hydroxyapatite to fluoroapatite,Inhibition of demineralization,Remineralization of enamel.
