question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Which of the following tests is most sensitive for the detection of iron depletion in pregnancy ?,"Serum ferritin is the most sensitive test as it correlates best with iron stores and is the first test to become abnormal in case of iron deficiency.
Remember: 

Storage form of iron : – Ferritin
Transport form of iron – Transferrin

As per CDC serum ferritin less than 15 mg/l confirms iron deficiency anemia.",2,Serum iron,Serum ferritin,Serum transferrin,Serum iron binding capacity,Gynaecology & Obstetrics,,084820b0-75b4-43ae-adf9-83fb0e20f4eb,single,Serum ferritin,Serum ferritin,1.000000238418579,0.8323310613632202,1.000000238418579,0.8548175692558289,0.8101411461830139,2
Epstein-Barr virus-associated lymphomas are all of these except:,"Ans: B. Nodular lymphocyte-predominant Hodgkin's lymphoma(Ref: Robbins 9/e p327, 609)Among Hodgkin's lymphomas, EBV is not associated with nodular sclerosis & lymphocyte predominant Hodgkin's lymphoma.Epstein-Barr Virus (EBV):Member of the herpes virus family.Causative agent for African form of Burkitt lymphoma.B-cell lymphomas in immunosuppressed individuals (paicularly in those with HIV infection or undergoing immunosuppressive therapy after organ or bone marrow transplantation).Subset of Hodgkin lymphoma.Nasopharyngeal.Some gastric carcinomas.Rrare forms of T-cell lymphoma.Natural killer (NK) cell lymphoma.",2,NK T-cell lymphoma,Nodular lymphocyte-predominant Hodgkin's lymphoma,Plasmablastic lymphoma,Lymphomatoid granulomatosis,Pathology,,a5c1e6f2-390a-4459-804e-4f27fde3571d,multi,Nodular lymphocyte-predominant Hodgkin's lymphoma,Nodular lymphocyte-predominant Hodgkin's lymphoma,1.0,0.8338303565979004,1.0,0.8472298979759216,0.8047035336494446,2
Inferior thyroid artery is a branch of :,"Thyrocervical trunk is a short, wide vessel which arises from the front of the first part of the subclavian artery, close to the medial border of the scalenus anterior, and between the phrenic and vagus nerves. It almost immediately divides into the inferior thyroid, suprascapular and transverse cervical arteries.",2,Internal thoracic artery,Thyrocervical trunk,Dorsal scapular artery,Costocervical trunk,Anatomy,,b20d6d5a-8860-4dd0-9065-e613a34ac615,single,Thyrocervical trunk,Thyrocervical trunk,0.9999999403953552,0.774752676486969,0.9999999403953552,0.7791113257408142,0.8744901418685913,2
A person presented to OPD with complaints of rotatory veigo and nausea in the morning on change in position of the head. WHat is your diagnosis?,"Positional veigo/ BPPV: It is characterized by veigo when the head is placed in a ceain critical position. There is no hearing loss or other neurologic symptoms. Positional testing establishes the diagnosis and helps to differentiate it from positional veigo of central origin. Disease caused by a disorder of posterior semicircular canal though many patients have history of head trauma and ear infection. It has been demonstrated that otoconial debris, consisting of crystals and calcium carbonate, is released from the degeneration macula of the utricle and floats freely in the endolymph. When it settles on the cupula of posterior semicircular canal in a critical head position, it causes displacement of the cupula and veigo. The veigo is fatigable on assuming the same position repeatedly due to dispersal of the otoconia but can be induced again after a period of rest. Thus, typical history and Hallpike maneuver establishes the diagnosis. The condition can be treated by performing Epley's maneuver. The principle of this maneuver is to reposition the otoconial debris from the posterior semicircular canal back into the utricle. The doctor stands behind the patient and the assistant on the side. The patient is made to sit on the table so that when he is made to lie down, his head is beyond the edge of the table as is done in Dix-Hallpike maneuver. His face is turned 450 to the affected side. The maneuver consists of five positions * Position 1. With the head turned 450, the patient is made to lie down in head-hanging position (Dix-Hallpike). It will cause veigo and nystagmus. Wait till veigo and nystagmus subside. * Position 2. Head is now turned so that affected ear is facing up at a 900 rotation. * Position 3. The whole body and head are now rotated away from the affected ear to a lateral recumbent position in a 900 -rotation face-down position. * Position 4. Patient is now brought to a sitting position with head still turned to the unaffected side by 450. * Position 5. The head is now turned forward and chin brought down 200. There should be a pause at each position till there is no nystagmus or there is slowing of nystagmus, before changing to the next position. After maneuver is complete, patient should maintain an upright posture for 48 h. Eighty percent of the patients will be cured by a single maneuver. If the patients remain symptomatic, the maneuver can be repeated. A bone vibrator placed on the mastoid bone helps to loosen the debris. - Meniere's disease: Has an episodic veigo and it lasts for >20 minutes. - Vestibular neuronitis: Veigo lasts for many days. - Labyrinthitis: There is a history of fever and trauma, and the veigo lasts for days.",2,Labyrinthitis,BPPV,Vestibular neuronitis,Meniere's disease,ENT,AIIMS 2018,8616b528-3a38-4bc5-b002-2e5133f56496,single,BPPV,BPPV,1.0000003576278689,0.6644598245620728,1.0000003576278689,0.6506558656692505,0.6066008806228638,2
Which of the following is an obligate intracellular parasite?,"Ans: C. Ehrlichia chaffeensis (Ref: Ananthanarayan 10/e p416, 8/e p409; Jawetz 27/e p346, 347; Harrison 19/e p1159, 1162)Though both Coxiella and Ehrlichia are obligate intracellular pathogens, in 2009 scientists repoed a technique allowing the Q-fever pathogen Coxiella burnetii to grow in an axenic culture and suggested the technique may be useful for study of other pathogens.Hence, Ehrlichia is a better answer in this case.",3,Tropheryma whippelii,Baonella henselae,Ehrlichia chaffeensis,Coxiella burnetii,Microbiology,,9b9120e8-6675-4e3d-8dc1-4c7b261957f1,single,Ehrlichia chaffeensis,Ehrlichia chaffeensis,1.0,0.7633869051933289,0.7736897468566895,1.0,0.75950026512146,3
Anti-epileptic which is not associated with congenital malformation when used in pregnant woman is:,Phenobarbitone is considered as safest antiepileptic drug in pregnancy.,2,Phenytoin,Phenobarbitone,Carbamazepine,Valproate,Medicine,,cd0df6a2-1e8f-41e9-8304-1b8742ea993d,single,Phenobarbitone,Phenobarbitone,0.9999997615814208,0.8225035667419434,0.9999998211860656,0.7711907029151917,0.7750023007392883,2
Portion of tooth covered by calculus or altered cementum is:,"Calculus is removed by a series of controlled, overlapping, short, powerful strokes primarily using wrist-arm motion . As calculus is removed, resistance to  the  passage  of  the  cutting  edge  diminishes  until  only  a  slight roughness  remains. Longer, lighter  root-planing  strokes  are  then activated with less lateral pressure until the root surface is completely smooth and hard. The instrument handle must be rolled carefully between the thumb and fingers to keep the blade adapted closely to the tooth surface as line angles, developmental depressions, and other changes in tooth contour are followed. Scaling and root-planing strokes should be confined to the portion of the tooth where calculus or altered cementum is found; this area is known as the instrumentation zone. Sweeping the instrument over the crown where it is not needed wastes operating time, dulls the instrument, and causes loss  of control.
Key Concept:
Scaling and root-planing strokes should be confined to the portion of the tooth where calculus or altered cementum is found; this area is known as the instrumentation zone. Sweeping the instrument over the crown where it is not needed wastes operating time, dulls the instrument, and causes loss  of control.
Ref: Newman and Carranza’s Clinical Periodontology, thirteenth edition; page no 545.e15",3,Toxic zone,Deposit zone,Instrumentation zone,Take away zone,Dental,,f6c4ff25-9770-4650-88f6-82b6b83d7e31,single,Instrumentation zone,Option 3: Instrumentation zone,0.8659178018569946,0.7941216230392456,0.7846354246139526,0.8659178018569946,0.7323039174079895,3
Annealing is also known as:,,1,Soft hardening treatment,Hard hardening treatment,Precipitating heat treatment,Stress relieving heat treatment,Dental,,098dae62-49e8-426a-a58e-8fecf341cd05,single,Soft hardening treatment,Soft hardening treatment,0.9999998211860656,0.9999998211860656,0.9827312231063844,0.8048683404922485,0.8239470720291138,1
"Fetal ECHO shows congenital hea block, what should be the mother screened for?","Ans. a). SLECongenital hea block is a rare disorder that occurs in about one out of 22,000 live bihs.In most cases, the cause is not known, but babies of mothers with lupus or other autoimmune diseases, or babies with congenital hea disorders, are at higher risk.Pregnant women who have autoimmune diseases, such as lupus or Sjogren's syndrome, are at an increased risk of having a baby with congenital hea block.Also, a tumor on the baby's hea can cause hea block.",1,SLE,Myxoma,APLA,,Gynaecology & Obstetrics,,17b84a1e-02fc-4250-a93a-194093782811,multi,SLE,SLE,1.0000001192092896,1.0000001192092896,0.6505323052406311,0.7259410619735718,0.6878752708435059,1
During exercise in physiological limits what is the effect on end systolic volume?,"During exercise, there is increased sympathetic discharge and venous return to hea. This causes increased stroke volume mainly due to increased myocardial contractility. Due to increased stroke volume, the ESV decreases. In the image given the stoke volume is indicated by the width of the loop and LV pressure by the height of the loop. Three major effects occurring during exercise are : Sympathetic nervous system activation in many tissues with stimulatory effects on circulation. Increase in aerial pressure Increase in cardiac output.",1,ESV decreases,ESV increase,ESV remain unchanged,ESV first decrease and then increases,Physiology,AIIMS 2018,97a54f46-0d5e-4979-820c-ab311c30f08a,single,ESV decreases,ESV decreases,1.0,1.0,0.9669373631477356,0.8823047876358032,0.8528892397880554,1
Which of the following drug is commonly used in treatment for cancer associated thromboembotismt,"Ans: A. Low molecular weight heparinCurrent guideline-endorsed therapy options for cancer-associated thrombosis include low molecularweight heparin (LMWH), unfractionated heparin (UFH), warfarin & fondaparinux.All current guidelines recommend LMWH for at least 3-6 months in cancer-associated VTE.",1,Low molecular weight heparin,anti-thrombin III inhibitors,Direct Xainhibitors,Warfarin,Pharmacology,,860f5673-7e87-4a35-ba17-628c738929fa,single,Low molecular weight heparin,Low molecular weight heparin,1.0000001192092896,1.0000001192092896,0.7166223526000977,0.7053400278091431,0.7055738568305969,1
Which of the following is not responsible for endogenous staining of teeth during development?,,4,Tetracycline,Rh incompatibility,Neonatal liver disease,Vitamin-C deficiency,Dental,,77751054-8726-4033-9baa-2e935dba4032,single,Vitamin-C deficiency,Tetracycline,0.667747974395752,1.000000238418579,0.6508285403251648,0.6245987415313721,0.667747974395752,1
"A young girl hospitalised with anorexia nervosa is on treatment, Even after taking adequate food according to the recommended diet plan for last 1 week, there is no gain in weight, what is the next step in management:","Ans. B. Observe patient for 2 hours after mealIn this condition because the food is often regurgitated after meals, the staff may be able to control vomiting by making the bathroom inaccessible for at least 2 hours after meals or by having an attendant in the bathroom to prevent the oppounity for vomiting.The hospital staff should give the patients about 500 calories over the amount required to maintain their present weight (usually 1500 to 2000 calories a day).",2,Increase fluid intake,Observe patient for 2 hours after meal,Increase the do se of anxiolytics,Increase the caloric intake from 1500 kcal to 2000 kcal per day,Psychiatry,,937dd47d-2d03-4bb7-a36d-d82a58f565d5,multi,Observe patient for 2 hours after meal,Observe patient for 2 hours after meal,0.9999998807907104,0.6951401829719543,0.9999998807907104,0.6800885796546936,0.6895158290863037,2
Which of these amino acids does not enter the Krebs cycle by forming Acetyl-CoA pyruvate?,"Ans: B. Tyrosine(Ref: Harper 30Ie p165)Tyrosine enters Krebs cycle fumarate, while all others form pyruvate to enter the Krebs cycle.",2,Glycine,Tyrosine,Hydroxyprolinc,Alanine,Biochemistry,,3728d7be-8279-4b79-a826-e568441ff21a,single,Tyrosine,Tyrosine,0.9999995231628418,0.7705084085464478,0.9999995231628418,0.7340344190597534,0.7878409624099731,2
"Which of the following type of flow occurs, when on applying critical shear stress, a material turns to liquid?","The viscosity of many dental materials decreases with increasing strain rate until it reaches a nearly constant value. That is, the faster they are stirred, forced through a syringe, or squeezed, the less viscous and more fluid they become. This is pseudoplastic viscosity and is illustrated by the change in slope of the plot in the figure.
The viscosity of a pseudoplastic fluid decreases with increasing shear rate. 
The tomato-based food condiment ketchup is also pseudoplastic, which makes it difficult to remove from a bottle. Shaking the bottle or rapping the side of the bottle increases its shear rate, decreases its viscosity, and improves its pourability. 
 
A Bingham plastic is a viscoplastic material that behaves as a rigid body at low stresses but flows as a viscous fluid at high stress. It is named after Eugene C. Bingham who proposed its mathematical form.",1,Bingham body behaviour,Newtonian body,Dilatant,Pseudoplastic,Dental,,91430721-6b45-4be5-acfb-29e96d31d077,single,Bingham body behaviour,Bingham body behaviour,0.9999998211860656,0.9999998211860656,0.7222867012023926,0.7027427554130554,0.6763145327568054,1
